mes,precipitacion,dias_lluvia,t_media,t_max,t_min,brillo,humedad
1,28.38092304,8.068965517,13.29666667,19.94482759,5.962068966,5.941193919,78.72413793
2,45.01,11,13.74333333,20.01724138,7.103448276,5.308029056,78.96551724
3,72.84333333,14.53333333,13.87333333,19.83448276,7.917241379,4.408623656,81.03448276
4,110.7,19.1,14.09,19.52666667,9.076666667,3.503944859,82.1
5,107.6933333,20.8,14.14666667,19.27586207,9.144827586,3.459461225,81.89655172
6,58.66,17.96666667,13.94333333,18.76896552,8.634482759,3.900709695,78.96551724
7,46.22666667,17.63333333,13.53333333,18.37,8.11,4.292191721,77.5
8,44.65,16.46666667,13.55,18.65172414,7.896551724,4.394812755,77.24137931
9,64.37666667,15.66666667,13.51,19.06333333,7.42,4.077728395,78.76666667
10,111.16,18.53333333,13.53333333,19.22333333,8.05,3.814597701,82.53333333
11,93.32666667,16.93333333,13.57666667,19.31666667,8.233333333,4.236882759,83.36666667
12,58.15,12.46666667,13.39333333,19.69310345,6.882758621,5.07805816,80.96551724
